Plot	Plot_bexis	Function	Value	Year	Dataset_ID	Dataset_Version
SEW44	SEW44	ammonia_oxidizing_archaea	32300000	2016	21546	2
SEW29	SEW29	ammonia_oxidizing_archaea	10400000	2016	21546	2
AEW04	AEW4	ammonia_oxidizing_archaea	4.96e+08	2016	21546	2
HEW31	HEW31	ammonia_oxidizing_archaea	1310000	2016	21546	2
HEW15	HEW15	ammonia_oxidizing_archaea	53700000	2016	21546	2
SEW37	SEW37	ammonia_oxidizing_archaea	23400000	2016	21546	2
HEW39	HEW39	ammonia_oxidizing_archaea	4030000	2016	21546	2
AEW32	AEW32	ammonia_oxidizing_archaea	74400000	2016	21546	2
AEW28	AEW28	ammonia_oxidizing_archaea	891000	2016	21546	2
AEW24	AEW24	ammonia_oxidizing_archaea	3900000	2016	21546	2
SEW12	SEW12	ammonia_oxidizing_archaea	1570000	2016	21546	2
HEW02	HEW2	ammonia_oxidizing_archaea	20700000	2016	21546	2
SEW40	SEW40	ammonia_oxidizing_archaea	68400000	2016	21546	2
AEW10	AEW10	ammonia_oxidizing_archaea	3750000	2016	21546	2
SEW47	SEW47	ammonia_oxidizing_archaea	57500000	2016	21546	2
HEW38	HEW38	ammonia_oxidizing_archaea	18500000	2016	21546	2
HEW22	HEW22	ammonia_oxidizing_archaea	202000	2016	21546	2
HEW50	HEW50	ammonia_oxidizing_archaea	5060000	2016	21546	2
AEW23	AEW23	ammonia_oxidizing_archaea	37100000	2016	21546	2
SEW11	SEW11	ammonia_oxidizing_archaea	22400000	2016	21546	2
AEW47	AEW47	ammonia_oxidizing_archaea	6080000	2016	21546	2
SEW19	SEW19	ammonia_oxidizing_archaea	369000	2016	21546	2
HEW25	HEW25	ammonia_oxidizing_archaea	34500000	2016	21546	2
SEW38	SEW38	ammonia_oxidizing_archaea	1.86e+08	2016	21546	2
HEW29	HEW29	ammonia_oxidizing_archaea	99100000	2016	21546	2
HEW17	HEW17	ammonia_oxidizing_archaea	823000	2016	21546	2
AEW29	AEW29	ammonia_oxidizing_archaea	18100000	2016	21546	2
SEW43	SEW43	ammonia_oxidizing_archaea	1.3e+08	2016	21546	2
SEW02	SEW2	ammonia_oxidizing_archaea	75300000	2016	21546	2
SEW06	SEW6	ammonia_oxidizing_archaea	14100000	2016	21546	2
AEW30	AEW30	ammonia_oxidizing_archaea	75600000	2016	21546	2
AEW42	AEW42	ammonia_oxidizing_archaea	49700000	2016	21546	2
SEW33	SEW33	ammonia_oxidizing_archaea	0	2016	21546	2
HEW08	HEW8	ammonia_oxidizing_archaea	17600000	2016	21546	2
HEW32	HEW32	ammonia_oxidizing_archaea	1.03e+08	2016	21546	2
SEW46	SEW46	ammonia_oxidizing_archaea	1.91e+08	2016	21546	2
HEW13	HEW13	ammonia_oxidizing_archaea	5510000	2016	21546	2
HEW24	HEW24	ammonia_oxidizing_archaea	7750000	2016	21546	2
AEW25	AEW25	ammonia_oxidizing_archaea	3420000	2016	21546	2
HEW33	HEW33	ammonia_oxidizing_archaea	4900000	2016	21546	2
SEW45	SEW45	ammonia_oxidizing_archaea	85900000	2016	21546	2
SEW48	SEW48	ammonia_oxidizing_archaea	18400000	2016	21546	2
HEW03	HEW3	ammonia_oxidizing_archaea	8150000	2016	21546	2
SEW41	SEW41	ammonia_oxidizing_archaea	14100000	2016	21546	2
HEW51	HEW51	ammonia_oxidizing_archaea	NA	2016	21546	2
AEW12	AEW12	ammonia_oxidizing_archaea	40600000	2016	21546	2
HEW23	HEW23	ammonia_oxidizing_archaea	24200000	2016	21546	2
AEW20	AEW20	ammonia_oxidizing_archaea	1.47e+08	2016	21546	2
AEW21	AEW21	ammonia_oxidizing_archaea	4270000	2016	21546	2
AEW11	AEW11	ammonia_oxidizing_archaea	1.87e+08	2016	21546	2
AEW43	AEW43	ammonia_oxidizing_archaea	3370000	2016	21546	2
AEW48	AEW48	ammonia_oxidizing_archaea	1.75e+08	2016	21546	2
HEW34	HEW34	ammonia_oxidizing_archaea	3340000	2016	21546	2
AEW31	AEW31	ammonia_oxidizing_archaea	4720000	2016	21546	2
AEW26	AEW26	ammonia_oxidizing_archaea	3400000	2016	21546	2
HEW10	HEW10	ammonia_oxidizing_archaea	6550000	2016	21546	2
SEW07	SEW7	ammonia_oxidizing_archaea	40300000	2016	21546	2
AEW36	AEW36	ammonia_oxidizing_archaea	65800000	2016	21546	2
SEW42	SEW42	ammonia_oxidizing_archaea	1.1e+08	2016	21546	2
AEW35	AEW35	ammonia_oxidizing_archaea	1840000	2016	21546	2
HEW09	HEW9	ammonia_oxidizing_archaea	13200000	2016	21546	2
AEW34	AEW34	ammonia_oxidizing_archaea	1170000	2016	21546	2
HEW05	HEW5	ammonia_oxidizing_archaea	34300000	2016	21546	2
HEW07	HEW7	ammonia_oxidizing_archaea	9180000	2016	21546	2
HEW04	HEW4	ammonia_oxidizing_archaea	1540000	2016	21546	2
HEW06	HEW6	ammonia_oxidizing_archaea	3050000	2016	21546	2
HEW12	HEW12	ammonia_oxidizing_archaea	2.77e+08	2016	21546	2
HEW11	HEW11	ammonia_oxidizing_archaea	1.47e+08	2016	21546	2
AEW39	AEW39	ammonia_oxidizing_bacteria	13100000	2016	21546	2
AEW40	AEW40	ammonia_oxidizing_bacteria	27700000	2016	21546	2
HEW42	HEW42	ammonia_oxidizing_bacteria	5150000	2016	21546	2
HEW45	HEW45	ammonia_oxidizing_bacteria	8200000	2016	21546	2
AEW22	AEW22	ammonia_oxidizing_bacteria	37900000	2016	21546	2
AEW49	AEW49	ammonia_oxidizing_bacteria	1.79e+08	2016	21546	2
HEW18	HEW18	ammonia_oxidizing_bacteria	1750000	2016	21546	2
HEW50	HEW50	ammonia_oxidizing_bacteria	1760000	2016	21546	2
AEW50	AEW50	ammonia_oxidizing_bacteria	1.3e+08	2016	21546	2
HEW49	HEW49	ammonia_oxidizing_bacteria	24600000	2016	21546	2
HEW40	HEW40	ammonia_oxidizing_bacteria	4360000	2016	21546	2
SEW20	SEW20	ammonia_oxidizing_bacteria	1340000	2016	21546	2
HEW13	HEW13	ammonia_oxidizing_bacteria	17900000	2016	21546	2
