Plot	Plot_bexis	exploratory	habitat	Root_decomposition	Nmic	PNR_2014	PNR_2016	average_PNR	Ammonium_NH4_2014	Ammonium_NH4_2016	MinSoil_Ammonium_NH4_2017	average_NH4	Nitrate_NO3_2014	Nitrate_NO3_2016	MinSoil_Nitrate_NO3_2017	average_NO3	CN_ratio_MinSoil_2011	CN_ratio_MinSoil_2014	CN_ratio_MinSoil_2017	CN_ratio_MinSoil_2021	average_CN_MinSoil	amoA_AOA	amoA_AOB	nxrA_NB	X16S_NS	CN_ratio_OrgLay_2011	CN_ratio_OrgLay_2014	CN_ratio_OrgLay_2017	average_CN_OrgLay	forest_soilNitrateflxs	forest_soilAmmoniaflxs	OlsenPi_2014	NaHCO3_Pi	Pmic	OlsenPi_2021	Upper_MinSoil_CP_ratio	Upper_MinSoil_PS_ratio	OrgLay_orthophosphate	MinSoil_orthophosphate	P_loss	average_OlsenPi	Upper_MinSoil_CS_ratio	O_Horizon_CS_ratio_2014	O_Horizon_CS_ratio_2017	average_O_Horizon_CS_ratio	dung_removal	dung_depletion	hydrophobicity	Cmic	Glu	N_Ac	Xyl	soilCflxs	Organic_layer_thickness	OC_stock_MinSoil_2011	OC_stock_MinSoil_2014	OC_stock_MinSoil_2017	OC_stock_MinSoil_2021	average_OC_stock_MinSoil	Pho_2011	Pho_2014	average_Pho	seed_depletion	Fine_Roots_Biomass	Coarse_Roots_Biomass	Root_Biomass	Browsing_perc_overall	Browsing_perc_broadleaf	Browsing_perc_conifers	Beech_herbivory_canopy_overall	Beech_herbivory_understory_overall	Beech_herbivory_canopy_mining	Beech_herbivory_understory_mining	Beech_herbivory_canopy_chewing	Beech_herbivory_understory_chewing	Beech_herbivory_canopy_sucking	Beech_herbivory_understory_sucking	Beech_herbivory_canopy_galls	Beech_herbivory_understory_galls	Cryptococcus_infestation	chewing_damage	scraping_sucking_damage	mining_damage	gall_damage	total_damaged_area	Fine_Roots_Carbon	Fine_Roots_Nitrogen	Fine_roots_CN_ratio	Soil_respiration_2011	Soil_respiration_2017	Annual_Leaching_P	Annual_Leaching_NH4	Annual_Leaching_NO3	Soil_respiration_2018	Soil_respiration_2019	average_Soil_respiration	Methane_oxidation	Total_litter_C_2015	Total_litter_C_2016	Total_litter_C_2017	Total_litter_C_2018	Total_litter_N_2015	Total_litter_N_2016	Total_litter_N_2017	Total_litter_N_2018	average_Total_litter_C	average_Total_litter_N	caterpillars_predation	OrgLay_waterholding	MinSoil_waterholding	MinSoil_Bulk_density_2011	Barkbeetle_antagonist_ratio
AEW11	AEW11	ALB	forest	7.5	23.9003857769901	4.194	4.194139373	4.1940696865	0.13	0.481820449	79.23	0.325424208874023	0.002	0.012207473	93.09	0.435587373060536	15.09	14.91	15.22	16.69	15.6066666666667	187000000	2800000	112000	3170000	27.99	25.3	24.57	25.9533333333333	-0.525917784012731	1.07586923339354	14.61	62.6526315789474	10.87	14.02	78.4	1.6	0.25	0.17	38.6229662042244	14.315	122.7	302.336666666667	261.03	281.683333333333	1.8757425062839	0.906	0.21	312.138024893814	275.43	269.773742592313	245.51	-0.123332833978592	2.73571428571429	55.23	55.57	59.73	60.18	57.6775	4713.75596459006	5552.51	5133.13298229503	1	0.976	0.996	1.972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.218031505580722	0.327962559789162	0.0997593352548572	0.00187747339563582	0.277833331864159	446.134066060853	12.2162703480309	47.26	37.73878	1.64267185408397	0	8.943	40.518	2.63	1.87	0.887823155755498	1.399656952	499.88	508.223333333333	495.173333333333	490.805	11.09	10.48	10.0333333333333	12.895	498.520416666667	11.1245833333333	0.75	0.89	0.71	0.66	0.050174658621785
AEW12	AEW12	ALB	forest	9	78.5896642408816	20.276	20.27562498	20.27581249	NA	0.645368778	80.73	0.939141034578838	0.027	0.034273919	252.87	1.25293417645555	13.16	13.34	12.89	12.95	13.06	40600000	40600000	373000	40600000	23.145	28.5633333333333	22.5333333333333	24.7472222222222	-0.229525015137784	0.0434541420497961	4.8	15.6631578947368	40.24	4.9	67.4	1.7	0.27	0.09	41.9059818154797	4.85	116.4	384.373333333333	257.09	320.731666666667	0.459380111902798	0.864	0.14	602.236622711968	669.332064456639	648.951135947677	293.239027042062	0.655463499236611	0.871428571428571	62.46	72.5	57.9	61.29	63.5375	6817.98280766606	9002.32	7910.15140383303	0.8	0.886	NA	0.886	27.16	33.33	26.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.198163713086531	0.23296763263701	0.186957971310172	0.0751130549349028	0.294839067631814	402.224422835393	11.9438395817447	29.61	52.22916	3.89136162257067	0	4.125	40.375	1.57	2.6	1.17436890728869	0.838018699	497.03	499.103333333333	491.763333333333	496.495	12.35	10.8866666666667	10.8433333333333	13.05	496.097916666667	11.7825	0.796	0.85	0.7	0.75	0.016662641873943
AEW13	AEW13	ALB	forest	12	87.5119780683924	11.182	11.18190933	11.181954665	NA	0.864013728	65.82	0.765691352607198	0.002	0.012044613	110.19	0.473495591605525	14.86	14.09	14.82	14.79	14.5666666666667	6730000	21900000	17300	51700000	23.43	23.5433333333333	24.81	23.9277777777778	-0.145034478229156	-0.456307012203799	2.69	13.9384389116504	46.49	1.74	67.9	1.6	0.16	0.04	43.1553996393136	2.215	110.5	309.003333333333	279.833333333333	294.418333333333	0.582839942019	0.108	0.12	683.877221318641	915.148991732256	459.745569388807	266.891945342994	0.514794321800482	1.50714285714286	66.82	53.61	59.18	76.56	64.0425	11448.453802271	9208.72	10328.5869011355	0.8	0.796	0.326	1.122	3.62	15.79	1.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18890510654155	0.0683973248661368	0.059737035029611	0.23960176545741	0.206259353681206	477.045979549051	11.2937315341148	36.09	71.82866	2.45431760972337	0	5.51	31.695	2.31	2.03	1.12387581770343	0.331255265	500.58	502.026666666667	383.326666666667	498.26	11.225	11.3733333333333	7.89333333333333	12.17	471.048333333333	10.6654166666667	0.488	0.93	0.69	0.87	0.021713615023474
AEW14	AEW14	ALB	forest	10.8	31.9869920919227	9.374	9.374272252	9.374136126	NA	0.263249098	45.01	0.523606316937861	NA	0.02466222	127.17	1.08836228917489	12.81	13.46	13.34	14.11	13.6366666666667	9510000	49000000	863000	1.71e+08	27.2566666666667	27.3033333333333	23.8033333333333	26.1211111111111	0.799761804475435	-0.172250263314748	5.64	20.2983837546623	27.6	4.47	70.1	1.7	0.31	0.08	43.3719875619453	5.055	117.5	358.28	271.62	314.95	1.25290583614434	0.604	0.12	382.129033621868	494.439230171481	376.589111549273	172.904733215552	-0.165300026891963	1.11428571428571	43.32	49.55	46.57	54.53	48.4925	4444.1610550416	3974.16	4209.1605275208	1	1.866	NA	1.866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.187854596468759	0.249858301945791	0.171096438919943	0.691834840756156	0.27251609627236	411.819423418535	11.0600232028263	41.87	50.38845	2.71831757582638	0	3.81	32.293	1.97	1.86	0.994036727418792	0.549745253	492.505	496.443333333333	494.143333333333	491.525	12.84	12.93	10.8633333333333	12.435	493.654166666667	12.2670833333333	0.556	0.81	0.75	0.84	0.005266622778144
AEW15	AEW15	ALB	forest	15.7	104.544812244284	13.841	13.84089396	13.84094698	NA	0.239177911	69.55	0.809082855877098	0.006	0.039663201	75.43	0.873730358042902	13.76	14.03	13.34	12.76	13.3766666666667	915000	137000000	3070000	2.52e+08	20.5033333333333	19.29	22.6866666666667	20.8266666666667	1.45408122077582	0.582620089614807	3.97	11.4338997099047	31	3.1	87.4	1.3	0.17	0.06	42.569845514808	3.535	115.9	273.05	262.986666666667	268.018333333333	0.0726842978927424	0.06	0.12	741.257897856283	1697.73128445207	602.862596637055	226.87	0.959019208868332	2.79285714285714	98.74	80.38	64.01	66.97	77.525	4623.65121374223	6487.31	5555.48060687112	0.976	1.516	0.246	1.762	NA	NA	NA	96.4	NA	47.6	NA	94.8	NA	19	NA	0.4	NA	1	0.221424205100002	0.310693005562913	0.124450827483353	0.260887903983983	0.285427518974974	451.746346426813	12.9090251603246	45.43	66.08379	1.83028289347972	0	14.588	38.65	2.05	1.58	0.94337168207113	0.168081709	473.705	484.573333333333	472.12	470.985	18.215	17.43	16.6966666666667	12.465	475.345833333333	16.2016666666667	0.62	0.8	0.73	0.69	0.037003610108303
AEW16	AEW16	ALB	forest	13.8	118.169127385032	19.095	19.09500331	19.095001655	0.132	0.200119699	102.04	0.41415453184968	0.008	0.025935512	94.17	0.687635725490283	13.82	14.43	13.6	13.51	13.8466666666667	56000000	41100000	484000	1.73e+08	26.775	26.04	25.58	26.1316666666667	0.812508950434584	0.194608837743769	5.4	0	38.93	2.4	85.8	1.4	0.18	0.06	44.2357041394568	3.9	120	335.666666666667	319.91	327.788333333333	0.33222555018864	0.128	0.18	845.258245379179	726.499738708217	813.809493972019	205.97	0.520633332679977	3.27142857142857	62.21	68.6	66.61	64.89	65.5775	5318.16848358481	5244.4	5281.2842417924	0.752	4.816	0.026	4.842	NA	NA	NA	97.6	55.9675324675325	42.4	0	94.8	46.7251082251082	12.4	4.62121212121212	1.4	0.416666666666667	1	0.225665315145528	0.0855525152517477	0.103648492614902	0.0807871008155703	0.260103097768481	482.001898554065	10.0845202003711	48.96	60.59951	1.59013189260521	0	3.338	6.095	1.53	1.43	0.811472928448289	0.361894555	483.195	490.873333333333	487.016666666667	487.85	11.96	11.6066666666667	10.6666666666667	11.5	487.23375	11.4333333333333	0.66	0.88	0.7	0.62	0.016778523489933
AEW17	AEW17	ALB	forest	13	98.5130348266004	17.097	17.09681046	17.09690523	NA	0.226186653	26.06	0.303158867349492	NA	0.023487826	88.27	0.919273222953523	12.51	12.48	12.31	12.32	12.37	80400000	13000000	454000	3.26e+08	26.17	27.7566666666667	26.2533333333333	26.7266666666667	2.01542746824522	0.159434474594857	5.64	22.9726315789474	31.88	4.1	49	2	0.23	0.09	42.396266589266	4.87	97.1	391.066666666667	306.31	348.688333333333	0.266542526273317	0.464	0.12	643.553883848542	781.844366555514	574.73448194481	176.92448327962	0.210312548019721	1.35714285714286	53.58	52.13	50.92	50.61	51.81	3330.78487553271	3567.82	3449.30243776636	0.8	0.346	NA	0.346	NA	NA	NA	95.6	NA	47.2	NA	91.6	NA	4.4	NA	3	NA	2	0.305219436509218	0.197359541868958	0.150457893542569	0.0864171461201579	0.299027937834979	609.434357068837	23.3644630170716	23.26	61.63111	1.3745972898007	0	3.695	5.218	1.64	1.26	0.78534992136602	0.801975991	479.57	492.57	487.38	479.41	9.955	11.9666666666667	11.3066666666667	12.84	484.7325	11.5170833333333	0.46	0.89	0.69	0.72	0.026147588611273
AEW18	AEW18	ALB	forest	7.7	68.3744783552859	15.526	15.52601721	15.526008605	NA	0.73736491	158.11	1.83931114799034	NA	0.025548872	92.71	0.988137032318529	12.72	12.56	12.88	11.99	12.4766666666667	21500000	86100000	1160000	2.23e+08	32.315	27.8433333333333	27.3266666666667	29.1616666666667	1.21101257080833	0.2944279764096	19.3	57.6232247284879	19.65	14.29	46.4	2.5	0.34	0.18	37.1491780610363	16.795	115.8	359.02	328.07	343.545	0.539040716383633	0.256	0.12	495.034218086168	889.602632579423	717.402229248167	203.583091203288	0.512578952932146	2.16428571428571	36.56	43.61	43.25	42.23	41.4125	3520.68674311153	4676.39	4098.53837155577	1	1.256	0.124	1.38	22.33	22.33	NA	98.8	90.6234968734969	45.2	0.925925925925926	96.4	71.2098857932191	3.6	28.2849095349095	6.2	0.810185185185185	1	0.251124493318758	0.172884992972164	0.132878234200223	0.0683991246873331	0.291298673349416	416.344539614208	12.1330381676913	45.16	48.31084	2.52003994117597	0	4.423	16.1	2.34	1.35	0.948048344040949	0.9492443915	478.495	495.01	481.45	468.975	11.21	14.6466666666667	9.13333333333333	11.765	480.9825	11.68875	0.756	0.89	0.7	0.86	0.020147750167898
AEW19	AEW19	ALB	forest	17	121.259679801597	10.274	10.27355988	10.27377994	0.135	0.338484887	124	0.499728758710606	0.002	0.032682997	106.05	0.817533269275552	12.08	12.17	12.16	12.21	12.18	28000000	44700000	1290000	2.12e+08	26.44	28.8666666666667	24.9	26.7355555555556	1.12553355996567	-0.037351827346353	5.44	27.9326315789474	35.49	5.62	55.5	1.7	0.24	0.1	15.6048726471691	5.53	95.9	408.85	294.746666666667	351.798333333333	0.470634742627039	0.148	0.19	803.098466277154	871.559219398297	802.765285809299	261.955684080563	0.805253657863607	3.78571428571429	61.94	58.33	57.66	60.73	59.665	3108.99573821784	6675.07	4892.03286910892	1	3.356	0.156	3.512	6.85	6.85	NA	79.2	61.1507936507937	20.4	0	63.6	37.6984126984127	4.2	13.8095238095238	6.8	9.30555555555556	1	0.310605967840997	0.393829809740002	0.154462013818486	0.860254934104432	0.453225612843866	471.381968564919	16.1075120684114	41.97	65.75455	2.5984022452702	0	5.303	25.418	2.25	1.83	1.08256210498702	0.8884409025	475.535	494.903333333333	487.063333333333	474.17	9.185	13.0966666666667	13.11	15.795	482.917916666667	12.7966666666667	0.376	0.87	0.74	0.56	0.022907488986784
AEW20	AEW20	ALB	forest	10.3	124.405308618348	14.398	14.39764176	14.39782088	1.203	0.290105482	41.51	0.32932566525494	0.004	0.02727948	275.59	1.13310417534988	12.15	12.34	11.65	12.21	12.0666666666667	147000000	34000000	94700	2.7e+08	31.8	31.44	22.2966666666667	28.5122222222222	1.57223177222087	0.992211288606935	7.97	22.4463743852673	29.32	5.75	58.2	1.6	0.35	0.08	26.5630328786829	6.86	92.8	489.825	285.443333333333	387.634166666667	0.595825063009601	0.052	0.12	855.886383134166	1289.63789662743	847.764211994948	272.996270437725	1.13406704699039	1.67142857142857	60.65	72.37	70.8	69.2	68.255	2003.31493605569	5326.74	3665.02746802784	1	1.686	0.124	1.81	0	0	NA	96.8	66.3657407407407	48	0	91.2	43.3366402116402	2.4	21.0383597883598	2.8	0	1	0.217509296991399	0.292581231521388	0.153077373142607	0.229089071057705	0.2918323000088	394.872982671127	8.50303019764679	48.17	62.07571	2.09182783237986	0	5.073	23.3	2.18	1.9	1.00570539646107	0.599535834	478.02	496.903333333333	482.626666666667	474.385	10.76	16.3666666666667	10.4633333333333	12.955	482.98375	12.63625	0.916	0.84	0.66	0.77	0.008268482490272
AEW21	AEW21	ALB	forest	11.4	185.484735265105	17.626	17.62574348	17.62587174	0.309	0.205440946	28.53	0.153876034429503	NA	0.027322687	169.36	1.30742057036631	11.71	11.7	11.7	12.14	11.8466666666667	4270000	3750000	17200	67400000	34.385	39.71	34.225	36.1066666666667	-0.0215743197812565	-0.652237721527874	6.4	25.6390977443609	58.74	6.06	55.5	1.6	0.21	0.09	44.0420692568169	6.23	88	524.51	377.9	451.205	0.355791824150855	0.134	0.11	1101.59259665706	2321.28860800732	886.778839843199	364.392724041807	2.11695653540638	0.578571428571429	74.96	68.29	71.15	79.68	73.52	1803.32285711773	3214.63	2508.97642855887	1	2.876	0.146	3.022	21.43	21.43	NA	80.4	94.2045454545455	16.4	4.91071428571429	64	62.8733766233766	12.4	28.3887987012987	0.8	1.70454545454545	1	0.438826588673814	0.283191598159934	0.0926237694234453	0.0601004914049705	0.494700110722455	453.191969066184	16.5877070329337	30.27	14.82345	2.52127051272281	0	4.805	5.723	3.14	2.89	1.05496585699539	0.6411959585	462.89	484.153333333333	476.35	459.84	11.39	14.6866666666667	12.5933333333333	14.935	470.808333333333	13.40125	0.58	0.89	0.7	0.57	0.055445544554455
AEW22	AEW22	ALB	forest	11.8	130.432217782408	8.807	8.806621608	8.806810804	0.153	0.243712474	85.2	0.351792994075074	0.005	0.036243083	163	1.02116916936095	13.32	13.12	12.84	12.98	12.98	12400000	37900000	211000	1.55e+08	35.605	31.1533333333333	23.51	30.0894444444444	0.668814565418217	-0.250299323166793	4.91	2.03947368421053	29.84	2.84	64.4	1.5	0.28	0.05	44.3808830662635	3.875	98.6	427.626666666667	289.696666666667	358.661666666667	0.147738616544472	0.064	0.12	744.970854880751	1326.76047441335	764.381472062053	248.80834844668	0.98323769688603	1.95	60.91	63.18	58.15	59.36	60.4	2059.87397477076	4265.79	3162.83198738538	1	1.346	0.084	1.43	11.4	11.4	NA	91.6	61.0535714285714	31.6	1.66666666666667	84.4	28.656746031746	7.6	21.9811507936508	1	3.1547619047619	1	0.188063352284827	0.12026222907514	0.0300144225358425	0.254622746299992	0.191682837486006	485.062676819049	10.3304766034647	54.96	54.58375	1.73399486893863	0	4.663	6.723	2.02	1.92	0.911925232910621	0.429765238	486	496.703333333333	487.043333333333	476.555	9.755	14.4766666666667	12.1133333333333	12.04	486.575416666667	12.09625	0.792	0.81	0.7	0.68	0.029561063003882
AEW23	AEW23	ALB	forest	14.5	71.7019457250321	NA	NA	NA	0.201	0.481717266	119.22	0.490430163825755	0.008	0.027193652	110.19	0.747339610274306	12.42	12.71	12.53	12.49	12.5766666666667	37100000	14300000	390000	1.36e+08	26.5933333333333	26.61	25.3733333333333	26.1922222222222	0.520810842964703	-0.239842080068468	4.61	9.62046550639547	12.63	3.49	65.8	1.5	0.25	0.06	44.499447916368	4.05	101	363.683333333333	300.7	332.191666666667	0.199781360986176	0.144	0.13	591.723990673421	815.735533110556	838.868990896844	157.312290005765	0.413659448211141	3.7	60.05	65.45	56.55	60.86	60.7275	7796.22129085371	4919.15	6357.68564542685	1	3.816	0.276	4.092	NA	NA	NA	90	62.3804112554113	27.6	0	85.2	39.1650016650017	2.4	25.1457153957154	0.8	5.76914751914752	1	0.218684068306536	0.18147227413792	0.107427882637375	0.378790764464786	0.246681841204695	453.057425059552	10.6275989943922	43.26	62.47109	2.56621582771055	0	6.345	16.643	2.38	1.85	1.08080395963198	0.5792258135	481.745	497.566666666667	479.983333333333	475.155	8.26	13.3966666666667	10.1866666666667	10.74	483.6125	10.6458333333333	0.81	0.9	0.65	0.73	0.017056530214425
AEW24	AEW24	ALB	forest	8.8	85.8897004892471	NA	NA	NA	0.465	0.965520928	82.76	0.385996403884197	0.002	0.020554875	103.88	0.604404353630385	13.05	13.18	12.8	12.47	12.8166666666667	3900000	20600000	447000	17200000	25.0866666666667	30.5866666666667	22.47	26.0477777777778	-0.412954951376595	-0.495569206745693	3.18	2.08842105263158	29.1	3.06	70.4	1.5	0.21	0.07	43.4308745223728	3.12	103.8	398.666666666667	259.096666666667	328.881666666667	0.965832841347046	0.342	0.28	629.528493295985	1033.75773552304	710.658385715001	263.305416044247	0.814945445188196	2.15714285714286	59.08	60.24	58.31	54.21	57.96	2730.02000777034	6066.02	4398.02000388517	0.84	4.106	0.114	4.22	NA	NA	NA	91.2	NA	16.8	NA	85.2	NA	10.6	NA	1.4	NA	1	0.40253475531019	0.277628139835312	0.12848736854861	0.163230328520886	0.462979101312923	382.417453205961	11.1947627829032	41.22	44.61438	2.16167316601382	0	22.953	41.81	1.47	2.35	0.897418963576055	0.6719800865	478.775	485.38	483.606666666667	475.53	13.47	13.29	14.7233333333333	11.385	480.822916666667	13.2170833333333	0.506	0.97	0.76	0.69	0.085714285714286
AEW25	AEW25	ALB	forest	12.4	68.3861932938137	NA	NA	NA	NA	1.446727347	41.27	0.480098482559998	NA	0.017834129	77.43	0.735153695263143	12.91	12.66	12.79	13.21	12.8866666666667	3420000	13600000	632000	1.3e+08	29.38	32.49	27.23	29.7	0.47553134485688	-0.566678459814304	3.67	15.0607287449393	29.4	4.15	64.6	1.7	0.15	0.05	44.6633456910185	3.91	110.8	424.65	324.225	374.4375	0	0.144	0.15	593.33460470674	717.04	657.544911870074	307.201908090601	0.744223058799132	1.44285714285714	39.94	32.32	41.73	40.64	38.6575	4815.82306262695	3623.28	4219.55153131347	1	6.616	0.256	6.872	NA	NA	NA	92	NA	20.4	NA	85.6	NA	8	NA	3.2	NA	1	0.323166595209005	0.389619409313574	0.120450319252658	0.30851736405472	0.388035780248794	402.810164268515	11.7350296026352	39.98	48.71657	2.5974368871641	0	10.238	17.793	2.28	2.21	1.04748577367524	0.6893396865	480.26	483.44	478.913333333333	472.475	8.275	12.9733333333333	11.4966666666667	13.95	478.772083333333	11.67375	0.752	0.86	0.78	0.99	0.033707865168539
AEW26	AEW26	ALB	forest	8.7	51.2700681813453	NA	NA	NA	NA	0.603899213	176.13	2.04893980453822	NA	0.019325715	114.47	0.905760557874914	12.2	12.47	12.95	12.74	12.72	3400000	24800000	165000	1.91e+08	26.295	29.9333333333333	27.765	27.9977777777778	0.951547992818123	-0.460394843596781	4.07	15.257987798573	38.36	3.3	53.9	1.9	0.27	0.1	43.0125375008689	3.685	100.5	330.58	322.45	326.515	0.465157216444504	0.054	0.22	671.651236630894	1033.44532122581	622.799082443669	275.188614723488	0.773880838030014	0.914285714285714	49.38	50.39	52.96	49.78	50.6275	6055.60249507106	5246.37	5650.98624753553	1	6.246	0.174	6.42	NA	NA	NA	98.8	NA	43.2	NA	98.8	NA	3.2	NA	1.2	NA	1	0.213841575053867	0.133581220546988	0.0522395307546569	0.474098287299797	0.244076224121644	411.302228923259	13.3597228391141	41.4	46.82004	2.68378967427379	0.565	3.535	16.755	2.26	3.03	1.13732564399218	0.428686559	482.68	486.613333333333	478.83	479.81	16.24	12.7633333333333	11.34	11.96	481.983333333333	13.0758333333333	0.656	0.85	0.66	0.76	0.045830202854996
AEW27	AEW27	ALB	forest	11.7	65.1694592189269	5.974	5.974221623	5.9741108115	0.106	0.543600871	104.52	0.420132486225384	NA	0.026984817	173.28	1.31272562724144	13.81	13.73	13.5	13.42	13.55	1070000	147000000	4290000	1.36e+08	26.02	22.5266666666667	25.87	24.8055555555556	0.551479485309356	0.679159456581618	4.39	2.61052631578947	20.65	3.3	72.8	1.5	0.2	0.06	42.4208801904975	3.845	106.1	269.636666666667	294.473333333333	282.055	1.1502175649239	0.174	0.22	517.992809411765	992.10389978738	690.132157018866	309.018041225245	0.942936579650212	1.77857142857143	60.14	52.45	50.21	49.75	53.1375	6283.40316824504	5556.34	5919.87158412252	0.808	1.956	2.996	4.952	NA	NA	NA	99.6	NA	59.6	NA	97.6	NA	10.6	NA	3	NA	1	0.336142120861083	0.154884611373706	0.141848964173756	0.0995775924707797	0.380949661619574	407.687290238145	13.0178106772709	37.51	66.62585	2.01827922835759	1.373	6.638	61.368	1.59	1.77	0.934714447807794	0.2488714485	482.155	486.713333333333	478.196666666667	472.49	16.615	16.44	14.4533333333333	13.705	479.88875	15.3033333333333	0.352	0.89	0.7	0.78	0.069047619047619
AEW28	AEW28	ALB	forest	6.3	101.00420018692	16.071	16.071022	16.071011	NA	1.088256882	112.39	1.30744532238716	NA	0.01847996	135.89	0.960481695854291	12.76	12.87	13.06	13.53	13.1533333333333	891000	20100000	625000	55600000	36.5	30.35	26.26	31.0366666666667	-0.109587032306851	-0.52892781222935	3.02	12.3505976095618	33.94	2.42	79.9	1.4	0.19	0.05	43.8574448178154	2.72	108.8	389.866666666667	306.34	348.103333333333	1.35117113767236	0.89	0.13	796.831645432099	718.733724900347	592.308881653255	180.856929704648	0.205531468369434	0.678571428571428	63.28	74.73	53.87	58.49	62.5925	5954.74935390758	5916.05	5935.39967695379	1	1.026	0.204	1.23	1.55	1.55	NA	92	78.9751552795031	18.8	1.81159420289855	73.6	35.2329192546584	10.8	27.9787784679089	12.2	2.74327122153209	1	0.339578134681794	0.204446431556978	0.127403705071027	0.0931418011346537	0.399664771719254	408.811027350555	11.4563902634307	38.45	54.72443	2.61091381529325	0.238	3.1	23.293	2.28	2.16	1.07196497307801	0.682497522	488.355	494.263333333333	484.396666666667	481.09	10.425	15.6533333333333	12.4566666666667	14.655	487.02625	13.2975	0.856	0.94	0.71	0.62	0.057640750670241
AEW29	AEW29	ALB	forest	8.8	72.181173701018	17.409	17.4089248	17.4089624	NA	1.572757192	71.04	0.826416190963466	NA	0.015392464	106.21	0.775103648681278	13.93	13.93	14.02	14.17	14.04	18100000	63200000	1160000	1.44e+08	30.65	24.4766666666667	27.9566666666667	27.6944444444444	0.589775969467934	0.0444048005132802	16.09	50.2526315789474	22.36	11.81	42.1	2.8	0.34	0.2	36.4904457811063	13.95	117.8	285.22	313.546666666667	299.383333333333	0.505360703569537	0.88	0.38	563.758730835979	603.047423073292	710.081382285828	242.475322952255	0.485202104349091	1.17857142857143	53.19	52.9	53.18	57.96	54.3075	6624.12342823328	5494.9	6059.51171411664	0.92	0.086	NA	0.086	39.39	39.39	NA	98.8	NA	44	NA	98.8	NA	7.4	NA	0.6	NA	1	0.349208652770339	0.313050284708149	0.231516682292214	0.284669332305052	0.447680741464956	465.600228416128	12.8872111756396	41.53	69.46007	3.0813615429681	1.588	3.428	8.98	1.48	2.34	1.12224617909901	0.8480450275	487.75	500.176666666667	487.1	489.14	12.085	11.7666666666667	11.1333333333333	13.575	491.041666666667	12.14	0.8	0.86	0.7	0.7	0.022720478325859
AEW30	AEW30	ALB	forest	10.5	165.999304618258	23.465	23.46498721	23.464993605	0.196	0.248386013	17.07	0.0936229814934706	0.02	0.032027561	142.31	0.934838035119317	12.56	12.64	12.59	13.09	12.7733333333333	75600000	17100000	113000	2.86e+08	25.945	30.07	35.38	30.465	1.6981957500848	0.152779865350468	6.18	19.1045393444318	58.67	3.54	52.8	1.9	0.33	0.14	41.7080878734056	4.86	101.6	400.565	431.395	415.98	0.503575717757357	0.3	0.18	1102.98761946936	1947.29836371513	949.471033006213	391.182104064768	2.06134446187831	1.5	89.82	81.04	83.12	88.05	85.5075	5516.17178834151	5611.59	5563.88089417076	1	1.886	0.274	2.16	19.74	19.74	NA	98.4	78.6915069057926	30.4	0	98.4	49.4258915687487	6.8	27.1317769532055	0	0	1	0.235734552250563	0.228480592180525	0.244562518471669	0.0889439164212154	0.332964733548358	486.798631496944	11.5684921299639	42.46	103.6353	2.83325328350268	1.623	9.208	8.243	1.36	2.13	1.21782489005707	0.712093506	479.145	495.73	481.7	462.185	12.375	17.2933333333333	12.7733333333333	13.315	479.69	13.9391666666667	0.86	1.01	0.63	0.68	0.027302511831088
AEW31	AEW31	ALB	forest	9.3	94.9467719732793	18.114	18.11382779	18.113913895	NA	0.470603684	56.98	0.662854653168614	0.028	0.013827864	102.4	0.546543722388167	12.21	12.93	12.21	12.78	12.64	4720000	131000000	318000	44200000	27.795	39.5066666666667	25.3366666666667	30.8794444444444	-0.20164800562194	0.561753136341331	4.19	19.9811656377524	36.02	2.84	58	1.8	0.22	0.08	40.8774779617303	3.515	101.8	542.316666666667	298.303333333333	420.31	1.41600426830741	0.65	0.11	748.866710986186	1357.43415957517	1306.71757287642	344.631789395986	1.89091521940912	0.378571428571429	72.83	69.67	60.74	68.02	67.815	4676.2006058035	5144.95	4910.57530290175	0.816	0.416	NA	0.416	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.163219301903453	0.10826080522154	0.014145738048825	0.0260479251766883	0.188297904251686	435.557845172382	9.923159566787	45.42	112.68808	2.63095973805239	1.365	3.163	33.593	1.72	2.39	1.30850830582119	0.5105578605	493.14	488.51	489.293333333333	492.095	11.81	11.71	10.67	12.76	490.759583333333	11.7375	0.634	0.89	0.68	0.63	0.055475786450855
