Plot	Plot_bexis	Function	Value	Year	Dataset_ID	Dataset_Version
HEW41	HEW41	Ammonium_NH4	2.955	2014	19847	3
SEW46	SEW46	Ammonium_NH4	NA	2014	19847	3
SEW07	SEW7	Ammonium_NH4	2.499	2014	19847	3
SEW30	SEW30	Ammonium_NH4	7.032	2014	19847	3
AEW27	AEW27	Ammonium_NH4	0.106	2014	19847	3
HEW48	HEW48	Ammonium_NH4	2.618	2014	19847	3
AEW43	AEW43	Ammonium_NH4	NA	2014	19847	3
AEW30	AEW30	Ammonium_NH4	0.196	2014	19847	3
HEW50	HEW50	Ammonium_NH4	0.391	2014	19847	3
AEW08	AEW8	Ammonium_NH4	NA	2014	19847	3
AEW31	AEW31	Ammonium_NH4	NA	2014	19847	3
AEW39	AEW39	Ammonium_NH4	0.244	2014	19847	3
HEW39	HEW39	Ammonium_NH4	1.828	2014	19847	3
HEW40	HEW40	Ammonium_NH4	0.167	2014	19847	3
HEW44	HEW44	Ammonium_NH4	0.286	2014	19847	3
AEW16	AEW16	Ammonium_NH4	0.132	2014	19847	3
AEW03	AEW3	Ammonium_NH4	0.013	2014	19847	3
AEW42	AEW42	Ammonium_NH4	NA	2014	19847	3
SEW09	SEW9	Ammonium_NH4	NA	2014	19847	3
SEW25	SEW25	Ammonium_NH4	1.097	2014	19847	3
SEW24	SEW24	Ammonium_NH4	0.37	2014	19847	3
AEW44	AEW44	Ammonium_NH4	0.269	2014	19847	3
HEW49	HEW49	Ammonium_NH4	4.536	2014	19847	3
AEW38	AEW38	Ammonium_NH4	0.312	2014	19847	3
HEW01	HEW1	Ammonium_NH4	0.174	2014	19847	3
AEW12	AEW12	Ammonium_NH4	NA	2014	19847	3
SEW40	SEW40	Ammonium_NH4	0.413	2014	19847	3
AEW15	AEW15	Ammonium_NH4	NA	2014	19847	3
SEW20	SEW20	Ammonium_NH4	0.122	2014	19847	3
SEW22	SEW22	Ammonium_NH4	0.182	2014	19847	3
SEW34	SEW34	Ammonium_NH4	12.086	2014	19847	3
SEW23	SEW23	Ammonium_NH4	2.565	2014	19847	3
AEW21	AEW21	Ammonium_NH4	0.309	2014	19847	3
HEW02	HEW2	Ammonium_NH4	0.434	2014	19847	3
AEW17	AEW17	Ammonium_NH4	NA	2014	19847	3
HEW03	HEW3	Ammonium_NH4	0.232	2014	19847	3
AEW04	AEW4	Ammonium_NH4	0.021	2014	19847	3
SEW35	SEW35	Ammonium_NH4	11.507	2014	19847	3
HEW45	HEW45	Ammonium_NH4	0.189	2014	19847	3
SEW32	SEW32	Ammonium_NH4	0.383	2014	19847	3
SEW29	SEW29	Ammonium_NH4	2.012	2014	19847	3
SEW19	SEW19	Ammonium_NH4	2.055	2014	19847	3
AEW14	AEW14	Ammonium_NH4	NA	2014	19847	3
HEW04	HEW4	Ammonium_NH4	0.361	2014	19847	3
AEW23	AEW23	Ammonium_NH4	0.201	2014	19847	3
SEW28	SEW28	Ammonium_NH4	0.232	2014	19847	3
SEW31	SEW31	Ammonium_NH4	NA	2014	19847	3
SEW27	SEW27	Ammonium_NH4	NA	2014	19847	3
SEW08	SEW8	Ammonium_NH4	15.15	2014	19847	3
AEW13	AEW13	Ammonium_NH4	NA	2014	19847	3
SEW21	SEW21	Ammonium_NH4	0.3	2014	19847	3
AEW24	AEW24	Ammonium_NH4	0.465	2014	19847	3
HEW15	HEW15	Ammonium_NH4	1.815270127	2016	21546	2
HEW29	HEW29	Ammonium_NH4	0.525434071	2016	21546	2
HEW13	HEW13	Ammonium_NH4	0.15096831	2016	21546	2
SEW02	SEW2	Ammonium_NH4	0.165697641	2016	21546	2
HEW26	HEW26	Ammonium_NH4	0.914292909	2016	21546	2
AEW48	AEW48	Ammonium_NH4	0.199113021	2016	21546	2
SEW03	SEW3	Ammonium_NH4	0.046873713	2016	21546	2
HEW28	HEW28	Ammonium_NH4	0.253373896	2016	21546	2
AEW49	AEW49	Ammonium_NH4	0.384686805	2016	21546	2
HEW39	HEW39	Ammonium_NH4	1.827919617	2016	21546	2
AEW47	AEW47	Ammonium_NH4	0.70392794	2016	21546	2
HEW16	HEW16	Ammonium_NH4	0.672522031	2016	21546	2
SEW35	SEW35	Ammonium_NH4	3.901376913	2016	21546	2
HEW25	HEW25	Ammonium_NH4	0.556749982	2016	21546	2
HEW12	HEW12	Ammonium_NH4	0.339513686	2016	21546	2
HEW35	HEW35	Ammonium_NH4	0.41318336	2016	21546	2
AEW09	AEW9	Ammonium_NH4	1.746318173	2016	21546	2
HEW37	HEW37	Ammonium_NH4	1.06534363	2016	21546	2
AEW36	AEW36	Ammonium_NH4	0.362248238	2016	21546	2
HEW38	HEW38	Ammonium_NH4	0.169067189	2016	21546	2
AEW45	AEW45	Ammonium_NH4	0.373252892	2016	21546	2
HEW19	HEW19	Ammonium_NH4	0.327473714	2016	21546	2
SEW36	SEW36	Ammonium_NH4	0.633632927	2016	21546	2
HEW24	HEW24	Ammonium_NH4	4.253143468	2016	21546	2
HEW36	HEW36	Ammonium_NH4	1.21758795	2016	21546	2
AEW05	AEW5	Ammonium_NH4	0.819618384	2016	21546	2
AEW34	AEW34	Ammonium_NH4	2.283269916	2016	21546	2
AEW44	AEW44	Ammonium_NH4	0.657829818	2016	21546	2
AEW01	AEW1	Ammonium_NH4	1.185991103	2016	21546	2
SEW01	SEW1	Ammonium_NH4	0.092259002	2016	21546	2
AEW39	AEW39	Ammonium_NH4	0.493507038	2016	21546	2
HEW27	HEW27	Ammonium_NH4	0.222663269	2016	21546	2
HEW20	HEW20	Ammonium_NH4	0.408775366	2016	21546	2
HEW22	HEW22	Ammonium_NH4	3.802769012	2016	21546	2
HEW48	HEW48	Ammonium_NH4	2.617984951	2016	21546	2
AEW06	AEW6	Ammonium_NH4	0.750269376	2016	21546	2
SEW10	SEW10	Ammonium_NH4	0.143114564	2016	21546	2
AEW46	AEW46	Ammonium_NH4	0.461225317	2016	21546	2
AEW33	AEW33	Ammonium_NH4	2.89625701	2016	21546	2
HEW51	HEW51	Ammonium_NH4	NA	2016	21546	2
SEW39	SEW39	Ammonium_NH4	1.913244144	2016	21546	2
SEW04	SEW4	Ammonium_NH4	0.274855279	2016	21546	2
AEW38	AEW38	Ammonium_NH4	0.240280131	2016	21546	2
HEW30	HEW30	Ammonium_NH4	0.570446897	2016	21546	2
SEW07	SEW7	Ammonium_NH4	2.499036597	2016	21546	2
AEW40	AEW40	Ammonium_NH4	0.292007854	2016	21546	2
SEW34	SEW34	Ammonium_NH4	3.998203899	2016	21546	2
HEW47	HEW47	Ammonium_NH4	2.045096282	2016	21546	2
SEW09	SEW9	Ammonium_NH4	0.025663626	2016	21546	2
HEW21	HEW21	Ammonium_NH4	1.604297327	2016	21546	2
HEW34	HEW34	Ammonium_NH4	0.397844665	2016	21546	2
HEW50	HEW50	Ammonium_NH4	0.391093678	2016	21546	2
SEW38	SEW38	Ammonium_NH4	0.196803275	2016	21546	2
AEW35	AEW35	Ammonium_NH4	0.453313343	2016	21546	2
AEW10	AEW10	Ammonium_NH4	0.954956946	2016	21546	2
AEW37	AEW37	Ammonium_NH4	0.531276429	2016	21546	2
HEW43	HEW43	Ammonium_NH4	0.269800428	2016	21546	2
HEW44	HEW44	Ammonium_NH4	0.285929797	2016	21546	2
AEW02	AEW2	Ammonium_NH4	1.987435295	2016	21546	2
HEW31	HEW31	Ammonium_NH4	1.878014606	2016	21546	2
SEW08	SEW8	Ammonium_NH4	5.050048085	2016	21546	2
AEW41	AEW41	Ammonium_NH4	0.505119718	2016	21546	2
HEW23	HEW23	Ammonium_NH4	0.375717149	2016	21546	2
HEW49	HEW49	Ammonium_NH4	4.535652724	2016	21546	2
AEW08	AEW8	Ammonium_NH4	1.428462777	2016	21546	2
SEW37	SEW37	Ammonium_NH4	5.770475571	2016	21546	2
SEW26	SEW26	Ammonium_NH4	4.201775348	2016	21546	2
HEW14	HEW14	Ammonium_NH4	0.910330615	2016	21546	2
SEW40	SEW40	Ammonium_NH4	0.413348305	2016	21546	2
AEW50	AEW50	Ammonium_NH4	0.411760006	2016	21546	2
HEW17	HEW17	Ammonium_NH4	4.849400835	2016	21546	2
HEW45	HEW45	Ammonium_NH4	0.188779847	2016	21546	2
SEW30	SEW30	Ammonium_NH4	3.498781293	2016	21546	2
SEW33	SEW33	Ammonium_NH4	1.134415693	2016	21546	2
